,Unnamed: 0,emphasized,actual
255,27000069,cccccccccccute,cute
256,27000047,cuuuuuuute,cute
257,27000021,cuteeeeeeeeeeee,cute
258,27000057,cuttttttte,cute
259,27000143,cuteeeeeeeee,cute
260,27000044,cuteeeee,cute
261,27000068,cutte,cute
262,27000100,cuteeeeeeeeeeeee,cute
263,27000103,cuteeeeeee,cute
264,27000045,cuuuuuute,cute
265,27000043,cccute,cute
266,27000031,cccccute,cute
267,27000067,cuuuuuuuuuuuuute,cute
268,27000025,cuteeeeeeeeeeeeeee,cute
269,27000015,cuuuuuuuuute,cute
270,27000071,cuttttttttttttttte,cute
271,27000001,cccccccute,cute
272,27000007,cuuuute,cute
273,27000019,ccccccccccccute,cute
274,27000048,cuuuuuuuuuuuuuuute,cute
275,27000026,cuuuuuuuuuuute,cute
276,27000027,ccccute,cute
277,27000024,cutttttttte,cute
278,27000005,cuteeeeeeeeee,cute
279,27000076,cutttttttttttttte,cute
280,16000044,ddelicious,delicious
281,16000103,delicccccccccccccccious,delicious
282,16000136,deliccccccccccious,delicious
283,16000146,deliicious,delicious
284,16000022,deliciouuuuuuuuus,delicious
285,16000006,deliciouuuuuuuuuuus,delicious
286,16000166,deliciousssss,delicious
287,16000173,deeeeeeeeeeeeelicious,delicious
288,16000243,delicioooooooous,delicious
289,16000023,deliciouuuuus,delicious
290,16000064,ddddelicious,delicious
291,16000125,delllllllllllllicious,delicious
292,16000215,deeeeeeelicious,delicious
293,16000062,delicioussss,delicious
294,16000025,deliciousssssssssssssss,delicious
295,16000032,deliciiiiiiiious,delicious
296,16000192,delicioooooooooous,delicious
297,16000043,deliccccccccccccccious,delicious
298,16000303,deliciooooooooooous,delicious
299,16000005,deliciousssssssss,delicious
300,16000411,dddelicious,delicious
301,16000040,deliciooooooooous,delicious
302,16000000,deliciooooooous,delicious
303,16000226,deliciiiiiiious,delicious
304,16000012,deliiiiiiiiiiiiiicious,delicious
305,16000034,delicccccccccccccious,delicious
306,16000436,deeeeeeeeeeeeeelicious,delicious
307,16000170,delicioussssssssssss,delicious
308,25000086,exxxxxxcellent,excellent
309,25000023,exceeeeeeeellent,excellent
310,25000200,excelleeeeeeent,excellent
311,25000052,exceeeeeeellent,excellent
312,25000035,excelleeeeeeeeeeeent,excellent
313,25000115,excellenttttt,excellent
314,25000010,excellennnt,excellent
315,25000001,exccccellent,excellent
316,25000151,eeeeeeeeeeexcellent,excellent
317,25000004,excellennnnnnnnnnnnnnnt,excellent
318,25000000,excellentttttttt,excellent
319,25000107,exceeeeeeeeellent,excellent
320,25000165,excellenttt,excellent
321,25000282,excccccccccellent,excellent
322,25000041,eexcellent,excellent
323,25000013,exxxxxxxxxxxxcellent,excellent
324,25000027,excellllllllllllllent,excellent
325,25000175,exceeeeeeeeeeeeellent,excellent
326,25000174,eeeeeeeeeeeeeexcellent,excellent
327,25000241,excellennt,excellent
328,25000089,excelleeeeeeeeeeeeent,excellent
329,25000157,excelllllllllllllllent,excellent
330,25000025,excellennnnnnnnnnt,excellent
331,25000122,excellennnnnnnnnnnt,excellent
332,25000011,excelllllllllllent,excellent
333,25000100,exxxxxxxxcellent,excellent
334,25000050,excellennnnnnnnnnnnnnt,excellent
335,25000031,excellennnnnnnnnnnnnt,excellent
336,8000130,fffffffffffuck,fuck
337,8000012,fffffuck,fuck
338,8000044,fuuuuuck,fuck
339,8000057,fucccccccccccck,fuck
340,8000030,ffffffffffffffuck,fuck
341,8000001,fuckkkkkkkkkkkkkkk,fuck
342,8000104,fffuck,fuck
343,8000043,fuuck,fuck
344,8000034,fuuuuuuuuuuuuuuck,fuck
345,8000009,fuuuuck,fuck
346,8000024,ffffffffffffuck,fuck
347,8000017,fuckk,fuck
348,8000164,fucck,fuck
349,8000007,fffffffffffffffuck,fuck
350,8000058,fuckkkkkkkk,fuck
351,8000048,fuccccccccccccccck,fuck
352,8000011,fucccccccccccccck,fuck
353,8000070,fuckkkkkkk,fuck
354,8000013,fuccccck,fuck
355,8000039,fuckkkkkkkkkkkkk,fuck
356,8000008,fuuuck,fuck
357,8000014,fuckkkkkkkkkkkk,fuck
358,8000021,fffffffffffffuck,fuck
359,8000252,fuuuuuuuuuuuuuuuck,fuck
360,8000015,fucccck,fuck
361,8000082,fucccccck,fuck
362,8000020,fuccccccccccck,fuck
363,8000062,fuckkkkkk,fuck
364,19000032,fuuun,fun
365,19000017,fuuuuuuuuuuuuuuun,fun
366,19000051,ffffffffffun,fun
367,19000058,fuuuun,fun
368,19000026,fffffun,fun
369,19000013,ffffffun,fun
370,19000012,funnnnnnnnnn,fun
371,19000063,fuuuuuun,fun
372,19000021,fuuuuun,fun
373,19000003,ffffun,fun
374,19000009,funnnnn,fun
375,19000035,funnnnnnn,fun
376,19000056,funnnnnnnnnnnnnn,fun
377,19000023,fffffffun,fun
378,19000001,fuuuuuuuuuuuuuun,fun
379,19000055,funn,fun
380,19000008,fffun,fun
381,19000004,funnnnnnnnnnnnn,fun
382,19000007,fuuuuuuun,fun
383,19000052,fuuuuuuuuuun,fun
384,19000016,fffffffffun,fun
385,19000059,fffffffffffffffun,fun
386,19000140,ffffffffun,fun
387,19000050,ffun,fun
388,19000057,fuuuuuuuun,fun
389,19000153,fffffffffffun,fun
390,19000002,fuuuuuuuuuuuuun,fun
391,19000073,funnnnnnnnnnn,fun
392,13000011,gooddddddddddd,good
393,13000087,gooooooooooooood,good
394,13000068,goodd,good
395,13000025,gggggggggggggggood,good
396,13000000,goodddddd,good
397,13000005,goooooooooooooood,good
398,13000076,gggggggggood,good
399,13000069,ggood,good
400,13000071,gggggggood,good
401,13000019,goodddddddddddddd,good
402,13000082,ggggggggggood,good
403,13000194,ggggggood,good
404,13000001,gooddddddd,good
405,13000031,goooood,good
406,13000008,gggggood,good
407,13000006,gooddddd,good
408,13000036,gooooood,good
409,13000002,goodddddddd,good
410,13000018,gggggggggggggood,good
411,13000236,ggggggggood,good
412,13000095,ggggood,good
413,13000016,gooooooooood,good
414,13000044,gooddd,good
415,13000020,goodddddddddddd,good
416,13000014,ggggggggggggggood,good
417,13000053,goodddd,good
418,13000054,goooooood,good
419,13000040,gooooooood,good
420,14000107,greaaaaaaaaaaaaaat,great
421,14000025,greatttttttttttttt,great
422,14000013,grrrrrrrrrrrrreat,great
423,14000007,greaat,great
424,14000006,greaaaat,great
425,14000010,ggggreat,great
426,14000029,grreat,great
427,14000149,greeeeeeeeeeeeat,great
428,14000111,greatttttttttt,great
429,14000047,greattttt,great
430,14000255,grrrrrrrrrreat,great
431,14000030,greaaaaaaaaaaaat,great
432,14000038,greatttttttttttt,great
433,14000054,ggreat,great
434,14000123,greeeeeeeeeeat,great
435,14000003,greatttttttt,great
436,14000066,greeeeeeeeeeeat,great
437,14000065,ggggggggggreat,great
438,14000020,greattt,great
439,14000019,grrrrrrreat,great
440,14000042,greeeeat,great
441,14000034,grrrreat,great
442,14000027,greattttttttttttttt,great
443,14000075,greeeeeeat,great
444,14000062,greaaaaaaaaaaat,great
445,14000053,ggggggggggggreat,great
446,14000082,greeeeeeeeeeeeeat,great
447,14000012,greatttt,great
448,28000003,happpppppppppppppy,happy
449,28000059,hhhhhhhhhhhhhappy,happy
450,28000005,hhhhhhhhhappy,happy
451,28000053,happyyyyyy,happy
452,28000044,hhhhhhhhhhhappy,happy
453,28000004,happyy,happy
454,28000027,hhhhappy,happy
455,28000267,happyyyyyyyyyyyyyyy,happy
456,28000025,haaaaaaaaappy,happy
457,28000054,hhhhhhhhhhhhappy,happy
458,28000154,happyyyyyyyy,happy
459,28000089,happyyyyyyy,happy
460,28000010,haaaaaaaaaaaaaaappy,happy
461,28000009,hhhhhhhhhhappy,happy
462,28000019,haaaaaaaaaaaaappy,happy
463,28000037,happppppy,happy
464,28000157,haaaaaaaaaappy,happy
465,28000071,haappy,happy
466,28000013,happppppppy,happy
467,28000065,hhhhhhappy,happy
468,28000001,haaaaappy,happy
469,28000112,haaaaaaaaaaaaaappy,happy
470,28000064,happyyyyyyyyyy,happy
471,28000079,hhhhhappy,happy
472,28000266,happyyyy,happy
473,28000008,happppy,happy
474,28000170,happyyyyyyyyy,happy
475,28000029,happpppppppy,happy
476,35000012,hoooooooooooooorrible,horrible
477,35000027,horrrrrrrrrrrrrrible,horrible
478,35000080,horrrrrrrrrible,horrible
479,35000151,horriblllllllllllle,horrible
480,35000042,hhhhhhhhhhhhhhorrible,horrible
481,35000085,horriblee,horrible
482,35000110,hhhhhorrible,horrible
483,35000094,horribleeeeeeeeeeeeee,horrible
484,35000076,horrrrrrrrrrrrrrrible,horrible
485,35000029,horribbbbbbbbbbbbbble,horrible
486,35000009,horrrrible,horrible
487,35000022,horriiiiiiible,horrible
488,35000035,hoooorrible,horrible
489,35000015,horriblllle,horrible
490,35000128,horribllle,horrible
491,35000158,hhhhhhorrible,horrible
492,35000155,horriible,horrible
493,35000152,horribbble,horrible
494,35000154,hhhhhhhhhhhorrible,horrible
495,35000093,horrrrrrrrrrrrible,horrible
496,35000142,horribllllllllllllllle,horrible
497,35000271,hooorrible,horrible
498,35000005,horriiiible,horrible
499,35000126,horriiiiiiiiible,horrible
500,35000169,horriiiiiiiiiiiiiible,horrible
501,35000058,horribleeeeeeeeeeee,horrible
502,35000062,horriiiiiiiiiible,horrible
503,35000008,hhhhhhhhhhhhhhhorrible,horrible
504,12000008,hottt,hot
505,12000039,hooot,hot
506,12000029,hhhhhhhhhhhhhhot,hot
507,12000151,hoooooooooooot,hot
508,12000049,hooooooooooooot,hot
509,12000018,hoooooooot,hot
510,12000007,hotttt,hot
511,12000051,hhhhhhhhhhhhhot,hot
512,12000038,hooooooooooooooot,hot
513,12000153,hotttttttt,hot
514,12000012,hott,hot
515,12000034,hhhhhhhhhhhhhhhot,hot
516,12000014,hooooooot,hot
517,12000000,hhot,hot
518,12000017,hotttttttttttttt,hot
519,12000075,hooooot,hot
520,12000055,hottttttttttttt,hot
521,12000024,hotttttt,hot
522,12000065,hoooooooooot,hot
523,12000030,hooooooooot,hot
524,12000001,hhhhhhhhot,hot
525,12000059,hottttttttttt,hot
526,12000026,hottttttttt,hot
527,12000041,hotttttttttt,hot
528,12000032,hoot,hot
529,12000033,hhhhhhhhhhhhot,hot
530,12000013,hoooooooooooooot,hot
531,12000015,hhhot,hot
532,30000090,hhhhhhhhhhhuge,huge
533,30000081,hugee,huge
534,30000011,hugeeeeeeeeeeeeee,huge
535,30000000,hugeeeeeeeee,huge
536,30000066,hugggggggggggge,huge
537,30000058,huggggggggge,huge
538,30000122,huuuuuuuge,huge
539,30000015,huggggggggggge,huge
540,30000078,hhhuge,huge
541,30000073,hugggggggggggggge,huge
542,30000381,huuuuge,huge
543,30000016,huuuuuge,huge
544,30000018,huuuuuuuuuuuuuge,huge
545,30000057,huuuuuuuuuuuge,huge
546,30000109,hugeeee,huge
547,30000020,hhhhhhhuge,huge
548,30000003,hugeeeeeeeeeeeee,huge
549,30000042,huggggggge,huge
550,30000002,huuuuuuuuuuge,huge
551,30000146,hugeeeeeeeeeeee,huge
552,30000037,huuuuuuuuuge,huge
553,30000043,hugeeeeeeeeeee,huge
554,30000051,huggggggggggggggge,huge
555,30000041,huuuuuuuuuuuuuuge,huge
556,30000054,hhhhhhhhhuge,huge
557,30000085,hhhhhhhhhhhhhhuge,huge
558,30000030,hugggggggggge,huge
559,30000174,huggge,huge
560,52000050,itttttt,it
561,52000006,ittttttttttttt,it
562,52000028,ittttttttttt,it
563,52000016,iiiiiiiiiiiiiit,it
564,52000022,itt,it
565,52000007,ittttttt,it
566,52000009,ittttttttttttttt,it
567,52000011,iiiiiiiiiiiit,it
568,52000102,itttttttttttttt,it
569,52000003,iiit,it
570,52000000,itttt,it
571,52000046,iiiiiit,it
572,52000025,ittt,it
573,52000012,ittttttttt,it
574,52000004,iiiiiiiiiiiiiiit,it
575,52000010,itttttttttt,it
576,52000002,iiiiiiiiiit,it
577,52000030,itttttttt,it
578,52000018,iiiit,it
579,52000015,iiiiit,it
580,52000067,iiiiiiiit,it
581,52000013,iiiiiiiiiiit,it
582,52000051,iit,it
583,52000001,iiiiiiit,it
584,52000040,iiiiiiiiiiiiit,it
585,52000014,ittttt,it
586,52000070,itttttttttttt,it
587,52000020,iiiiiiiiit,it
588,47000065,jjjjjjust,just
589,47000076,juuuuuuuuuuuuuuust,just
590,47000084,justttt,just
591,47000165,jjjjust,just
592,47000049,justttttttttttt,just
593,47000047,jjjjjjjjjjjjjust,just
594,47000011,jussssssssssssst,just
595,47000050,jjjust,just
596,47000006,jusssssssst,just
597,47000010,juust,just
598,47000030,jusssssssssssssst,just
599,47000001,juuuuuust,just
600,47000013,juuuuuuuuuuuust,just
601,47000026,justttttttttttttt,just
602,47000022,juuuuuuuuust,just
603,47000002,juuuuuuuuuust,just
604,47000040,jusst,just
605,47000069,jjjjjjjjjjjust,just
606,47000017,justttttttttt,just
607,47000088,juuuust,just
608,47000184,jjjjjjjjust,just
609,47000081,justttttttt,just
610,47000046,jussst,just
611,47000016,justttttt,just
612,47000042,juuuuuuust,just
613,47000043,justtttttt,just
614,47000057,jjjjjjjjjjjjust,just
615,47000025,jusssssssssssst,just
616,41,likkkkkkkkkkke,like
617,17,likkke,like
618,92,likee,like
619,74,likkkkkkke,like
620,28,likkkkkkkkkkkkkke,like
621,37,liiiiiiiike,like
622,56,llllike,like
623,12,lllllllllllllike,like
624,1,likkkkke,like
625,18,likeeeeeeeeeeeee,like
626,4,likeeeeeeeeeeee,like
627,85,liiiiiiiiiiiiiike,like
628,26,liike,like
629,59,likkkkkkkkkkkke,like
630,42,lllllllllllllllike,like
631,38,llllllllllllllike,like
632,50,likeeeeee,like
633,24,liiiiiiiiiiiiike,like
634,6,likeeeeeeee,like
635,9,likke,like
636,14,llllllllllike,like
637,16,likkkkkkkke,like
638,114,likeeeee,like
639,32,liiike,like
640,185,lllike,like
641,55,llllllllike,like
642,0,lllllllllike,like
643,90,liiiiike,like
644,2000057,loveeee,love
645,2000069,lovve,love
646,2000005,lllllllllllllllove,love
647,2000056,loveeeeeeeeee,love
648,2000019,lovvvvve,love
649,2000209,loooooooooooove,love
650,2000000,loove,love
651,2000001,loooooooooove,love
652,2000033,llllllllllove,love
653,2000124,loveeeeeeee,love
654,2000061,llllllllllllove,love
655,2000002,lllllllllove,love
656,2000003,loooooooooooooove,love
657,2000044,lovvvve,love
658,2000041,lovvvvvvvvvvve,love
659,2000028,loveeeeeeeeeeeee,love
660,2000017,lovvvvvvvvvvvvvvve,love
661,2000177,looooooooooooove,love
662,2000037,llove,love
663,2000103,lovvvvvvvvvvvvvve,love
664,2000040,looooooooooooooove,love
665,2000016,looove,love
666,2000236,loveeeeeeeeeeeeeee,love
667,2000014,lovvvvvvvvvvvve,love
668,2000012,loooove,love
669,2000128,loooooooove,love
670,2000029,loveeeee,love
671,2000050,lllllllllllove,love
672,9000142,nasttttttttttttttty,nasty
673,9000051,nastttttttty,nasty
674,9000158,nnnnasty,nasty
675,9000034,nasssssssssssssssty,nasty
676,9000029,nnnnnnnnnnnnasty,nasty
677,9000009,naaaaaaaaaaaasty,nasty
678,9000004,naasty,nasty
679,9000060,nnnnnnnnnnnnnnnasty,nasty
680,9000005,nastyyyyyy,nasty
681,9000016,nasttttttttttty,nasty
682,9000023,nastttttttttty,nasty
683,9000044,nastttttty,nasty
684,9000042,nnnasty,nasty
685,9000069,nnnnnnnnnnnasty,nasty
686,9000197,nasssssssty,nasty
687,9000263,naaaaaaaaaaaaasty,nasty
688,9000047,nasttttttttty,nasty
689,9000081,nnnnnnnnnnnnnasty,nasty
690,9000175,nasttttttttttttty,nasty
691,9000083,nastyyyyyyyy,nasty
692,9000021,nastyyyy,nasty
693,9000012,naaaaaaaaaaaaaaasty,nasty
694,9000013,nastyyyyyyyyy,nasty
695,9000112,naaasty,nasty
696,9000080,nasssssssssty,nasty
697,9000056,nassty,nasty
698,9000048,nnnnnnasty,nasty
699,9000022,naaaaaaaasty,nasty
700,51000002,neeeed,need
701,51000021,needdddddddd,need
702,51000071,nnnnneed,need
703,51000036,needddddddddddd,need
704,51000011,neeeeeeeeeeeeeeed,need
705,51000005,nnnnnneed,need
706,51000035,needdddddddddd,need
707,51000008,needdddddddddddddd,need
708,51000032,neeeeeeeeeeed,need
709,51000004,neeeeeeeeeeeeed,need
710,51000072,nnnnnnnnnneed,need
711,51000097,needddddddddddddd,need
712,51000100,neeeeeeeeed,need
713,51000007,neeed,need
714,51000013,nneed,need
715,51000069,needddddddddd,need
716,51000048,nnnnnnnnnnnnnnneed,need
717,51000006,needdddddddddddd,need
718,51000017,needdddd,need
719,51000113,needddddddd,need
720,51000051,nnnnnnnnnnneed,need
721,51000015,nnnnnnnnnnnnneed,need
722,51000053,needd,need
723,51000016,nnnnnnnneed,need
724,51000000,neeeeeeed,need
725,51000039,needddd,need
726,51000026,neeeeed,need
727,51000023,nnnnnnnnnnnneed,need
728,5000147,niceeeeee,nice
729,5000010,niiiiiiiiiice,nice
730,5000154,niccccce,nice
731,5000172,nicccccccccce,nice
732,5000090,niccccccccccce,nice
733,5000044,niiiiiiiiiiice,nice
734,5000088,niccccccccce,nice
735,5000002,niiiiice,nice
736,5000096,nicccccccce,nice
737,5000146,niceeeeeeeee,nice
738,5000053,niiice,nice
739,5000041,niiiiiiiiiiiiice,nice
740,5000079,nicccccce,nice
741,5000052,nicccccccccccccce,nice
742,5000285,niice,nice
743,5000117,nnnnnnice,nice
744,5000001,nnnnnnnnnnnice,nice
745,5000007,niceeeeeeee,nice
746,5000009,niceeeeeeeeeeeee,nice
747,5000000,nnnnnice,nice
748,5000071,niceeeeeeeeeeeeeee,nice
749,5000065,nnnnnnnnnnnnnnnice,nice
750,5000020,niiiiiiiiiiiiiice,nice
751,5000013,niiiiiiiiiiiiiiice,nice
752,5000085,nnnnnnnnnnice,nice
753,5000011,niceeeee,nice
754,5000046,niiiiiiice,nice
755,5000016,niccccccce,nice
756,45000001,nooooo,no
757,45000015,nno,no
758,45000002,nnnnnnnnno,no
759,45000019,noooooooooooo,no
760,45000006,nooo,no
761,45000028,nnnnnnnnnnno,no
762,45000031,nooooooooo,no
763,45000004,noooooo,no
764,45000030,noooooooo,no
765,45000037,nnnnnnnno,no
766,45000052,nnnnnnnnnnnnnnno,no
767,45000009,nnnnnnnnnnnnnno,no
768,45000010,nnno,no
769,45000005,nnnnno,no
