,emphasized,actual
2000023,lovvvvvvvve,love
2000024,llllllove,love
2000028,loveeeeeeeeeeeee,love
2000029,loveeeee,love
2000031,lovee,love
2000032,looooooove,love
2000033,llllllllllove,love
2000036,loveeeeeeeeeeee,love
2000037,llove,love
2000038,looooooooooove,love
2000040,looooooooooooooove,love
2000041,lovvvvvvvvvvve,love
2000044,lovvvve,love
2000046,lovvvvvvve,love
2000050,lllllllllllove,love
2000053,lovvvvvve,love
2000054,loveeeeeee,love
2000056,loveeeeeeeeee,love
2000057,loveeee,love
2000060,llllllllllllllove,love
2000061,llllllllllllove,love
2000062,lovvvvvvvvvvvvve,love
2000063,lovvvvvvvvve,love
2000065,loveee,love
2000066,lovvvvvvvvvve,love
2000069,lovve,love
2000070,llllllllove,love
2000096,lllllove,love
2000098,lllllllllllllove,love
2000103,lovvvvvvvvvvvvvve,love
2000124,loveeeeeeee,love
2000128,loooooooove,love
2000136,lllllllove,love
2000173,looooooooove,love
2000177,looooooooooooove,love
2000195,loveeeeeeeee,love
2000209,loooooooooooove,love
2000236,loveeeeeeeeeeeeeee,love
3000000,coolllllllll,cool
3000001,cooooooooooool,cool
3000002,cooooool,cool
3000004,coool,cool
3000006,cooooooool,cool
3000007,cccccccccccccccool,cool
3000008,cooooooooooooooool,cool
3000009,cccccccccool,cool
3000010,coooool,cool
3000013,cooooooooooooool,cool
3000014,coooooooooooool,cool
3000015,ccool,cool
3000016,ccccccccccccccool,cool
3000017,cooooooooool,cool
3000018,coooooool,cool
3000019,coollllllll,cool
3000021,cccccccccccool,cool
3000022,cccccccool,cool
3000023,coolllllllllllllll,cool
3000024,coolllllllllll,cool
3000027,cooool,cool
3000030,ccccccccccccool,cool
3000032,coolllllll,cool
3000038,coooooooooool,cool
3000040,cccccool,cool
3000049,coollllll,cool
3000050,cooll,cool
3000055,ccccccccccool,cool
3000062,ccccool,cool
3000070,coooooooool,cool
3000076,coooooooooooooool,cool
3000081,coollllllllllll,cool
3000088,coollll,cool
3000090,coolllll,cool
3000094,ccccccool,cool
3000095,coollllllllllllll,cool
3000098,coollllllllll,cool
3000107,coolllllllllllll,cool
3000111,cccool,cool
3000113,coolll,cool
3000148,ccccccccool,cool
3000184,cccccccccccccool,cool
4000000,prrrrrrrrrrrrrrretty,pretty
4000001,prettyyyyyyyyyyy,pretty
4000002,pppppppppppppppretty,pretty
4000003,prettttttttty,pretty
4000004,preeeeeeeeeetty,pretty
4000005,preeeeetty,pretty
4000006,prettttttttttty,pretty
4000007,ppppppppppretty,pretty
4000008,ppppppretty,pretty
4000009,pretttttttttty,pretty
4000010,pppppppppppppretty,pretty
4000011,preeeeeeeeeeeeetty,pretty
4000012,prettyyyyyyyyyy,pretty
4000013,prrrrrrrrretty,pretty
4000014,prrrrrrrrrrrretty,pretty
4000015,prrretty,pretty
4000016,pretttttttttttttttty,pretty
4000017,pretttttttttttty,pretty
4000020,preeeeeeeeeeeeeeetty,pretty
4000022,preeeeeeeeeeeeeetty,pretty
4000023,ppppppppppppppretty,pretty
4000024,pretttty,pretty
4000025,prettyyyyyyyyyyyyyyy,pretty
4000028,prettyyy,pretty
4000030,prrrrrretty,pretty
4000033,prettty,pretty
4000035,pretttttttttttttty,pretty
4000036,prettttty,pretty
4000038,prrrrretty,pretty
4000039,pretttttttty,pretty
4000040,prrrrrrrrrrrrretty,pretty
4000042,ppppppppppppretty,pretty
4000043,preeeeeetty,pretty
4000045,prettttttty,pretty
4000051,preeetty,pretty
4000060,pppretty,pretty
4000063,ppretty,pretty
4000064,pppppppretty,pretty
4000067,prettyy,pretty
4000068,prettttttttttttty,pretty
4000070,prettyyyyyyyy,pretty
4000073,preeeeeeeeetty,pretty
4000075,preeeeeeetty,pretty
4000076,prettyyyyy,pretty
4000080,pppppppppppretty,pretty
4000083,ppppppppretty,pretty
4000084,pppppppppretty,pretty
4000086,pretttttty,pretty
4000087,prretty,pretty
4000090,pppppretty,pretty
4000093,prettyyyyyyyyyyyyyy,pretty
4000094,prrrrrrretty,pretty
4000095,preeeeeeeetty,pretty
4000103,preetty,pretty
4000108,prettyyyyyyyyyyyyy,pretty
4000120,preeeeeeeeeeeetty,pretty
4000122,prettyyyyyyy,pretty
4000128,prettttttttttttttty,pretty
4000131,prrrrrrrrrretty,pretty
4000134,preeeeeeeeeeetty,pretty
4000155,prrrrrrrrrrretty,pretty
4000170,prettyyyyyyyyy,pretty
4000204,prrrretty,pretty
4000246,ppppretty,pretty
4000259,prettyyyy,pretty
4000261,preeeetty,pretty
4000327,prrrrrrrrrrrrrretty,pretty
4000340,prrrrrrrretty,pretty
4000361,prettyyyyyyyyyyyy,pretty
4000581,prettyyyyyy,pretty
5000000,nnnnnice,nice
5000001,nnnnnnnnnnnice,nice
5000002,niiiiice,nice
5000003,nicccce,nice
5000004,niccccccccccccccce,nice
5000005,niceeeeeeeeeeee,nice
5000006,nicee,nice
5000007,niceeeeeeee,nice
5000008,niceeeeeeeeee,nice
5000009,niceeeeeeeeeeeee,nice
5000010,niiiiiiiiiice,nice
5000011,niceeeee,nice
5000012,nicccccccccccce,nice
5000013,niiiiiiiiiiiiiiice,nice
5000014,nnnnnnnnnnnnnnice,nice
5000015,niceeee,nice
5000016,niccccccce,nice
5000017,niccce,nice
5000020,niiiiiiiiiiiiiice,nice
5000025,niceeeeeee,nice
5000026,niiiiiiiiice,nice
5000027,niccccccccccccce,nice
5000035,nnnice,nice
5000041,niiiiiiiiiiiiice,nice
5000042,nnnnnnnnnice,nice
5000043,niiiiiiiiiiiice,nice
5000044,niiiiiiiiiiice,nice
5000045,nnnnice,nice
5000046,niiiiiiice,nice
5000047,nnnnnnnnnnnnice,nice
5000051,niiiice,nice
5000052,nicccccccccccccce,nice
5000053,niiice,nice
5000055,nnnnnnnnice,nice
5000060,niceee,nice
5000061,niiiiiiiice,nice
5000063,niiiiiice,nice
5000065,nnnnnnnnnnnnnnnice,nice
5000071,niceeeeeeeeeeeeeee,nice
5000079,nicccccce,nice
5000085,nnnnnnnnnnice,nice
5000088,niccccccccce,nice
5000090,niccccccccccce,nice
5000095,niceeeeeeeeeee,nice
5000096,nicccccccce,nice
5000110,nnice,nice
5000117,nnnnnnice,nice
5000122,nicce,nice
5000144,nnnnnnnice,nice
5000145,niceeeeeeeeeeeeee,nice
5000146,niceeeeeeeee,nice
5000147,niceeeeee,nice
5000154,niccccce,nice
5000172,nicccccccccce,nice
5000198,nnnnnnnnnnnnnice,nice
5000285,niice,nice
6000000,badddddddddddddd,bad
6000001,baad,bad
6000002,baaaad,bad
6000003,bbbad,bad
6000004,baddddddddd,bad
6000005,badddddd,bad
6000009,baddddddddddd,bad
6000011,bbbbbbbbbbbbbbad,bad
6000012,baaaaaaaaaaaaaad,bad
6000013,baaad,bad
6000015,bbbbbbad,bad
6000016,badddddddddd,bad
6000017,baddddddddddddddd,bad
6000018,badddd,bad
6000019,bbbbad,bad
6000022,bbbbbbbbbbbbbbbad,bad
6000024,bbbbbbbbbbbbbad,bad
6000025,badddddddddddd,bad
6000026,baaaaad,bad
6000031,baaaaaaaaaaaaaaad,bad
6000032,baaaaaaaaaaaaad,bad
6000033,badd,bad
6000040,baaaaaaad,bad
6000042,bbbbbbbbbad,bad
6000043,baaaaaaaaaaaad,bad
6000045,bbbbbbbbbbad,bad
6000048,bbbbbbbbbbbbad,bad
6000049,baaaaaaaaad,bad
6000053,badddddddd,bad
6000055,baddd,bad
6000060,baddddddddddddd,bad
6000062,bbbbbad,bad
6000064,bbbbbbbbad,bad
6000068,baddddd,bad
6000072,bbbbbbbbbbbad,bad
6000076,baaaaaaaaaaad,bad
6000085,baaaaaad,bad
6000093,baaaaaaaad,bad
6000102,bbbbbbbad,bad
6000106,bbad,bad
6000146,baddddddd,bad
6000160,baaaaaaaaaad,bad
7000000,shhit,shit
7000001,shhhhhhhhhit,shit
7000002,sssssssssssssshit,shit
7000003,sssshit,shit
7000004,shittttttttttt,shit
7000005,shitttttttttt,shit
7000006,ssssssssssssshit,shit
7000007,ssssssshit,shit
7000008,shiiiiiit,shit
7000009,shittt,shit
7000010,shiiiiiiiiiiiiit,shit
7000011,shitttttttt,shit
7000012,sssssssssshit,shit
7000013,ssssshit,shit
7000015,shhhit,shit
7000016,ssshit,shit
7000017,ssssssssssssssshit,shit
7000018,shiiit,shit
7000019,sssssshit,shit
7000020,sssssssssssshit,shit
7000021,shhhhhhhhhhhhhit,shit
7000022,shiiiiiiit,shit
7000023,shhhhhhhhit,shit
7000024,shitttttttttttttt,shit
7000027,shitttt,shit
7000028,shitt,shit
7000029,shiiiiiiiiiiiit,shit
7000031,shittttttt,shit
7000033,shhhhhhhhhhit,shit
7000034,shittttttttt,shit
7000036,shhhhhhhit,shit
7000037,shiiiiiiiiiiiiiiit,shit
7000039,shitttttttttttt,shit
7000040,shitttttt,shit
7000043,shittttttttttttt,shit
7000047,ssssssssshit,shit
7000057,shhhhhhhhhhhit,shit
7000059,shhhhhhhhhhhhit,shit
7000062,shiit,shit
7000063,shiiiiiiiiit,shit
7000068,shittttttttttttttt,shit
7000070,shiiiiiiiiiiiiiit,shit
7000072,shittttt,shit
7000076,shhhhhhhhhhhhhhit,shit
7000081,shiiiiit,shit
7000082,shiiiiiiiiiiit,shit
7000088,ssssssssssshit,shit
7000090,shiiiiiiiit,shit
7000093,shiiiiiiiiiit,shit
7000100,shiiiit,shit
7000110,shhhhhhit,shit
7000120,sssssssshit,shit
7000137,shhhhit,shit
7000144,shhhhhhhhhhhhhhhit,shit
7000150,sshit,shit
7000208,shhhhhit,shit
8000000,ffffffffffuck,fuck
8000001,fuckkkkkkkkkkkkkkk,fuck
8000002,fffffffuck,fuck
8000003,fuuuuuuuuuuuuck,fuck
8000004,fuccccccccccccck,fuck
8000005,fucccccccccck,fuck
8000007,fffffffffffffffuck,fuck
8000008,fuuuck,fuck
8000009,fuuuuck,fuck
8000010,fuckkk,fuck
8000011,fucccccccccccccck,fuck
8000012,fffffuck,fuck
8000013,fuccccck,fuck
8000014,fuckkkkkkkkkkkk,fuck
8000015,fucccck,fuck
8000017,fuckk,fuck
8000020,fuccccccccccck,fuck
8000021,fffffffffffffuck,fuck
8000023,ffuck,fuck
8000024,ffffffffffffuck,fuck
8000027,fuuuuuuuuuuuck,fuck
8000028,fuccck,fuck
8000030,ffffffffffffffuck,fuck
8000032,ffffffffuck,fuck
8000034,fuuuuuuuuuuuuuuck,fuck
8000038,ffffffuck,fuck
8000039,fuckkkkkkkkkkkkk,fuck
8000042,fuuuuuuuck,fuck
8000043,fuuck,fuck
8000044,fuuuuuck,fuck
8000048,fuccccccccccccccck,fuck
8000049,fuckkkkkkkkkkkkkk,fuck
8000053,fuccccccccck,fuck
8000057,fucccccccccccck,fuck
8000058,fuckkkkkkkk,fuck
8000061,fuckkkk,fuck
8000062,fuckkkkkk,fuck
8000063,fffffffffuck,fuck
8000070,fuckkkkkkk,fuck
8000082,fucccccck,fuck
8000085,fuckkkkk,fuck
8000087,fuuuuuuuuuuck,fuck
8000090,fuckkkkkkkkk,fuck
8000093,fucccccccck,fuck
8000097,fuuuuuuuuuuuuuck,fuck
8000099,fuckkkkkkkkkkk,fuck
8000104,fffuck,fuck
8000107,fuuuuuuuuuck,fuck
8000124,ffffuck,fuck
8000130,fffffffffffuck,fuck
8000132,fuckkkkkkkkkk,fuck
8000164,fucck,fuck
8000166,fuccccccck,fuck
8000202,fuuuuuuuuck,fuck
8000252,fuuuuuuuuuuuuuuuck,fuck
8000397,fuuuuuuck,fuck
9000000,nnnnnnnnnasty,nasty
9000001,nassssssssssssty,nasty
9000002,nassssssssty,nasty
9000003,nasttty,nasty
9000004,naasty,nasty
9000005,nastyyyyyy,nasty
9000007,nasttttty,nasty
9000008,nnnnnnnnnnnnnnasty,nasty
9000009,naaaaaaaaaaaasty,nasty
9000010,nastyy,nasty
9000011,nastyyyyyyy,nasty
9000012,naaaaaaaaaaaaaaasty,nasty
9000013,nastyyyyyyyyy,nasty
9000016,nasttttttttttty,nasty
9000017,naaaaaaaaaaasty,nasty
9000019,nastttttttttttttty,nasty
9000021,nastyyyy,nasty
9000022,naaaaaaaasty,nasty
9000023,nastttttttttty,nasty
9000025,nasssssssssssssty,nasty
9000027,nastttty,nasty
9000028,nnnnnnnasty,nasty
9000029,nnnnnnnnnnnnasty,nasty
9000031,nastyyyyy,nasty
9000033,naaaasty,nasty
9000034,nasssssssssssssssty,nasty
9000035,nastyyyyyyyyyyy,nasty
9000040,nasssssty,nasty
9000041,nnnnnnnnasty,nasty
9000042,nnnasty,nasty
9000043,naaaaaasty,nasty
9000044,nastttttty,nasty
9000045,nassssssty,nasty
9000047,nasttttttttty,nasty
9000048,nnnnnnasty,nasty
9000049,nastty,nasty
9000051,nastttttttty,nasty
9000053,nastyyyyyyyyyyyy,nasty
9000055,naaaaaaaaasty,nasty
9000056,nassty,nasty
9000060,nnnnnnnnnnnnnnnasty,nasty
9000064,nassssssssssty,nasty
9000069,nnnnnnnnnnnasty,nasty
9000073,nnnnnnnnnnasty,nasty
9000079,nastttttttttttty,nasty
9000080,nasssssssssty,nasty
9000081,nnnnnnnnnnnnnasty,nasty
9000083,nastyyyyyyyy,nasty
9000084,naaaaaaaaaasty,nasty
9000085,nasttttttty,nasty
9000112,naaasty,nasty
9000119,nassssty,nasty
9000120,nastyyy,nasty
9000121,nasssty,nasty
9000122,naaaaaaasty,nasty
9000129,nasssssssssssty,nasty
9000137,nnasty,nasty
9000142,nasttttttttttttttty,nasty
9000147,nastyyyyyyyyyyyyyyy,nasty
9000155,naaaaasty,nasty
9000158,nnnnasty,nasty
9000161,nnnnnasty,nasty
9000164,naaaaaaaaaaaaaasty,nasty
9000166,nastyyyyyyyyyyyyyy,nasty
9000175,nasttttttttttttty,nasty
9000194,nastyyyyyyyyyyyyy,nasty
9000197,nasssssssty,nasty
9000247,nassssssssssssssty,nasty
9000253,nastyyyyyyyyyy,nasty
9000263,naaaaaaaaaaaaasty,nasty
10000000,slllllllllllllllow,slow
10000001,slowwww,slow
10000002,sllllllow,slow
10000003,sslow,slow
10000004,ssslow,slow
10000005,slllllllow,slow
10000006,slowwwww,slow
10000007,sssssssslow,slow
10000008,sssssslow,slow
10000009,sloooooooooow,slow
10000010,slowwwwwwwwwwwww,slow
10000012,slllllllllllow,slow
10000013,sloooow,slow
10000015,slowwwwwwwwwww,slow
10000016,sssssssssssslow,slow
10000017,slllllllllllllow,slow
10000024,ssssslow,slow
10000025,sllllow,slow
10000026,slooooooow,slow
10000029,slowwwwwwwwwwww,slow
10000030,ssssssssssslow,slow
10000031,sloooooow,slow
10000032,slowwwwwwwwwwwwww,slow
10000034,slowww,slow
10000036,slooow,slow
10000037,slllllllllow,slow
10000038,slllllow,slow
10000039,slowwwwwwwwww,slow
10000041,slooooooooow,slow
10000042,sloooooooow,slow
10000043,sloooooooooooow,slow
10000045,slowwwwwwww,slow
10000047,ssssssssslow,slow
10000051,sllllllllllllllow,slow
10000052,ssssssssssssssslow,slow
10000057,slowwwwww,slow
10000058,slowwwwwwwww,slow
10000066,slooooow,slow
10000067,sloooooooooooooow,slow
10000068,sssslow,slow
10000069,sloow,slow
10000071,sllllllllow,slow
10000078,sllllllllllow,slow
10000081,slllow,slow
10000090,sllllllllllllow,slow
10000091,slooooooooooooooow,slow
10000095,slowwwwwwwwwwwwwww,slow
10000098,sllow,slow
10000113,slowwwwwww,slow
10000140,slooooooooooow,slow
10000156,slooooooooooooow,slow
10000160,sssssssssssssslow,slow
10000165,sloww,slow
10000172,ssssssslow,slow
10000175,sssssssssslow,slow
10000191,ssssssssssssslow,slow
11000000,booooooring,boring
11000001,boooring,boring
11000002,bbbbboring,boring
11000003,boooooooooooooooring,boring
11000004,borinnnnnnnnnnng,boring
11000006,borinnnnnnnnnnnng,boring
11000007,boriiiing,boring
11000008,boriiing,boring
11000009,borrrrring,boring
11000010,boringgggggggg,boring
11000011,bbbbbbbbbbbbbbboring,boring
11000012,boooooring,boring
11000013,borinnnnnnnnng,boring
11000014,bbbbbbboring,boring
11000015,boooooooring,boring
11000016,bbboring,boring
11000017,boriiiiiiiiiiiiiing,boring
11000018,borinnnnnnnnnnnnng,boring
11000019,boringggggggggg,boring
11000021,boooooooooring,boring
11000023,boringgggggggggggggg,boring
11000024,borinng,boring
11000026,boringgg,boring
11000028,borinnnng,boring
11000029,boooooooooooooring,boring
11000030,boriiiiiiiiiiiiiiing,boring
11000033,bbbbbbbbbboring,boring
11000034,borrrrrrrrrrring,boring
11000035,boringggggggggggg,boring
11000036,borinnnnnnnnnnnnnng,boring
11000039,boooooooooooring,boring
11000040,bbbbbbbbbbbbbboring,boring
11000041,bbbbbbbbbbbbboring,boring
11000042,boringggggg,boring
11000043,borinnnnnnng,boring
11000044,borrrrrring,boring
11000045,bbbboring,boring
11000048,borinnnnnnnng,boring
11000049,borring,boring
11000050,boringg,boring
11000052,bboring,boring
11000053,booooooooooooring,boring
11000054,borinnng,boring
11000055,boriiiiiiiiiiiing,boring
11000057,borrrring,boring
11000059,boringgggggggggg,boring
11000062,boringgggg,boring
11000064,boringggggggg,boring
11000071,borinnnnnng,boring
11000072,bbbbbboring,boring
11000075,boringgggggggggggg,boring
11000076,boriiiiiing,boring
11000077,booooooooooooooring,boring
11000078,borinnnnng,boring
11000082,boriiiiiiiiiing,boring
11000087,boriiiiiiiiing,boring
11000088,borrrrrrrrrring,boring
11000092,bbbbbbbbbbboring,boring
11000094,boriiiiiiiiiiiiing,boring
11000095,booring,boring
11000096,bbbbbbbbboring,boring
11000101,boringggggggggggggg,boring
11000109,bbbbbbbbbbbboring,boring
11000110,booooooooring,boring
11000112,borrrrrrrring,boring
11000116,boringggg,boring
11000123,borrrrrrrrring,boring
11000125,boriiiiiiiiiiing,boring
11000126,borinnnnnnnnnnnnnnng,boring
11000131,borinnnnnnnnnng,boring
11000144,borrrrrrrrrrrring,boring
11000146,bbbbbbbboring,boring
11000151,boriing,boring
11000162,boringgggggg,boring
11000163,borrrrrrrrrrrrrrring,boring
11000171,boriiiiiiiing,boring
11000177,borrrrrrrrrrrrrring,boring
11000188,booooooooooring,boring
11000192,boriiiiing,boring
11000199,borrrrrrring,boring
11000212,boriiiiiiing,boring
11000219,borrrrrrrrrrrrring,boring
11000226,borrring,boring
11000228,booooring,boring
12000000,hhot,hot
12000001,hhhhhhhhot,hot
12000002,hhhhhhhot,hot
12000004,hhhhhhhhhhot,hot
12000005,hottttttttttttttt,hot
12000006,hotttttttttttt,hot
12000007,hotttt,hot
12000008,hottt,hot
12000009,hhhhot,hot
12000011,hhhhhhhhhot,hot
12000012,hott,hot
12000013,hoooooooooooooot,hot
12000014,hooooooot,hot
12000015,hhhot,hot
12000017,hotttttttttttttt,hot
12000018,hoooooooot,hot
12000020,hhhhhhhhhhhot,hot
12000021,hhhhhot,hot
12000022,hoooot,hot
12000024,hotttttt,hot
12000026,hottttttttt,hot
12000029,hhhhhhhhhhhhhhot,hot
12000030,hooooooooot,hot
12000032,hoot,hot
12000033,hhhhhhhhhhhhot,hot
12000034,hhhhhhhhhhhhhhhot,hot
12000038,hooooooooooooooot,hot
12000039,hooot,hot
12000041,hotttttttttt,hot
12000045,hhhhhhot,hot
12000049,hooooooooooooot,hot
12000051,hhhhhhhhhhhhhot,hot
12000055,hottttttttttttt,hot
12000059,hottttttttttt,hot
12000065,hoooooooooot,hot
12000068,hoooooot,hot
12000075,hooooot,hot
12000078,hottttt,hot
12000083,hottttttt,hot
12000144,hooooooooooot,hot
12000151,hoooooooooooot,hot
12000153,hotttttttt,hot
13000000,goodddddd,good
13000001,gooddddddd,good
13000002,goodddddddd,good
13000003,gooood,good
13000005,goooooooooooooood,good
13000006,gooddddd,good
13000008,gggggood,good
13000009,gooooooooooooooood,good
13000011,gooddddddddddd,good
13000012,goooooooood,good
13000014,ggggggggggggggood,good
13000016,gooooooooood,good
13000018,gggggggggggggood,good
13000019,goodddddddddddddd,good
13000020,goodddddddddddd,good
13000022,goooooooooood,good
13000024,gooddddddddddddddd,good
13000025,gggggggggggggggood,good
13000026,goood,good
13000027,gggggggggggood,good
13000031,goooood,good
13000032,gooooooooooood,good
13000036,gooooood,good
13000037,goooooooooooood,good
13000040,gooooooood,good
13000044,gooddd,good
13000046,gooddddddddddddd,good
13000051,goodddddddddd,good
13000053,goodddd,good
13000054,goooooood,good
13000068,goodd,good
13000069,ggood,good
13000070,ggggggggggggood,good
13000071,gggggggood,good
13000076,gggggggggood,good
13000082,ggggggggggood,good
13000084,gggood,good
13000087,gooooooooooooood,good
13000094,gooddddddddd,good
13000095,ggggood,good
13000194,ggggggood,good
13000236,ggggggggood,good
14000000,greeeeeeeeat,great
14000001,grrrrrrrrreat,great
14000002,grrrrrrrreat,great
